id,restaurant_name,category,price_tier,neighborhood,opening_hours,closing,average_rating,good_for_kids
121,vel,Italian,Medium,Washington Heights,10:00,20:00,5,TRUE
122,tincidunt eu felis,Spanish,Cheap,Lincoln Square,10:00,20:00,2,FALSE
123,fringilla rhoncus,Korean,Cheap,Financial District,10:00,20:00,5,FALSE
124,nulla integer,Chinese,Medium,Tribeca,10:00,20:00,5,TRUE
125,dui vel nisl,Vietnamese,Medium,Tribeca,10:00,20:00,5,FALSE
126,sociis natoque penatibus,Indian,Cheap,Financial District,10:00,20:00,3,FALSE
127,leo pellentesque,American,Medium,Washington Heights,10:00,20:00,4,FALSE
128,nonummy,Korean,Expensive,Financial District,10:00,20:00,5,FALSE
129,est quam pharetra,Spanish,Expensive,Washington Heights,10:00,20:00,3,FALSE
130,sed nisl,Korean,Medium,Upper West Side,10:00,20:00,5,TRUE
131,quam pede lobortis,Indian,Medium,Turtle Bay,10:00,20:00,2,FALSE
132,nascetur ridiculus mus,Chinese,Cheap,SoHo,10:00,20:00,5,TRUE
133,felis,American,Expensive,Tribeca,10:00,20:00,2,TRUE
134,maecenas leo,Chinese,Expensive,Turtle Bay,10:00,20:00,3,FALSE
135,lectus in est,Japanese,Medium,Midtown,10:00,20:00,4,FALSE
136,sit,Indian,Expensive,Sutton Place,10:00,20:00,3,TRUE
137,nibh in lectus,Vietnamese,Medium,Lenox Hill,10:00,20:00,3,TRUE
138,ut,Vietnamese,Medium,Kips Bay,10:00,20:00,4,FALSE
139,odio in hac,Thai,Medium,Chelsea,10:00,20:00,1,FALSE
140,aliquam erat volutpat,Japanese,Cheap,Lower East Side,10:00,20:00,5,FALSE
141,curae donec,Thai,Cheap,Lower East Side,10:00,20:00,2,TRUE
142,dui vel nisl,Japanese,Medium,Stuyvesant Town,10:00,20:00,2,FALSE
143,vel nisl,Indian,Cheap,Gramercy Park,10:00,20:00,4,TRUE
144,urna ut tellus,Chinese,Cheap,Chelsea,10:00,20:00,3,TRUE
145,mauris vulputate,French,Medium,Yorkville,10:00,20:00,2,TRUE
146,a,Chinese,Medium,Greenwich Village,10:00,20:00,4,FALSE
147,consequat ut nulla sed,Chinese,Medium,Kips Bay,10:00,20:00,5,TRUE
148,mauris eget massa,Middle Eastern,Medium,Upper East Side,10:00,20:00,4,TRUE
149,luctus et ultrices,Thai,Medium,Greenwich Village,10:00,20:00,3,TRUE
150,lacus morbi,French,Cheap,Lower East Side,10:00,20:00,3,TRUE
151,turpis nec euismod,Thai,Cheap,Kips Bay,10:00,20:00,2,FALSE
152,sed justo pellentesque,Italian,Medium,Morningside Heights,10:00,20:00,4,TRUE
153,imperdiet et commodo vulputate,American,Medium,Murray Hill,10:00,20:00,2,TRUE
154,erat nulla,Thai,Expensive,Chelsea,10:00,20:00,3,TRUE
155,suspendisse accumsan tortor,Vietnamese,Cheap,SoHo,10:00,20:00,3,FALSE
156,venenatis lacinia aenean,Indian,Expensive,Washington Heights,10:00,20:00,1,TRUE
157,porttitor id consequat in,Korean,Medium,Stuyvesant Town,10:00,20:00,3,FALSE
158,ultrices phasellus id,American,Cheap,Lenox Hill,10:00,20:00,5,FALSE
159,nulla,Japanese,Cheap,Tribeca,10:00,20:00,4,FALSE
160,cras non,French,Cheap,Murray Hill,10:00,20:00,2,FALSE
161,leo,Italian,Expensive,Morningside Heights,10:00,20:00,5,TRUE
162,in est risus auctor,American,Expensive,Gramercy Park,10:00,20:00,1,FALSE
163,quam,French,Expensive,Gramercy Park,10:00,20:00,5,TRUE
164,natoque penatibus et,French,Medium,Tudor City,10:00,20:00,3,TRUE
165,molestie hendrerit at,American,Expensive,Roosevelt Island,10:00,20:00,4,FALSE
166,facilisi cras,Mexican,Expensive,SoHo,10:00,20:00,4,TRUE
167,a,Korean,Cheap,Upper East Side,10:00,20:00,4,TRUE
168,arcu adipiscing molestie hendrerit,French,Cheap,Hell's Kitchen,10:00,20:00,3,TRUE
169,venenatis non,Korean,Cheap,Harlem,10:00,20:00,2,FALSE
170,sed,Thai,Cheap,SoHo,10:00,20:00,1,FALSE
171,in porttitor pede justo,Italian,Cheap,Gramercy Park,10:00,20:00,2,FALSE
172,ac enim in tempor,Italian,Expensive,Flatiron District,10:00,20:00,4,TRUE
173,lectus,Indian,Medium,Washington Heights,10:00,20:00,3,FALSE
174,mus etiam,French,Medium,Financial District,10:00,20:00,3,FALSE
175,sed accumsan felis,Vietnamese,Medium,East Village,10:00,20:00,1,FALSE
176,bibendum morbi non quam,Vietnamese,Cheap,Tudor City,10:00,20:00,5,FALSE
177,augue a suscipit,Italian,Expensive,Turtle Bay,10:00,20:00,1,TRUE
178,lectus vestibulum,American,Medium,Inwood,10:00,20:00,1,TRUE
179,justo sollicitudin ut suscipit,Mexican,Medium,NoHo,10:00,20:00,3,FALSE
180,at feugiat,American,Expensive,Upper West Side,10:00,20:00,1,FALSE
181,eget,Indian,Medium,Nolita,10:00,20:00,3,FALSE
182,ipsum primis in faucibus,Italian,Expensive,SoHo,10:00,20:00,4,FALSE
183,phasellus in felis donec,Mexican,Expensive,Sutton Place,10:00,20:00,5,TRUE
184,urna ut tellus nulla,Spanish,Medium,Lenox Hill,10:00,20:00,5,FALSE
185,orci luctus et ultrices,Mexican,Cheap,Inwood,10:00,20:00,1,FALSE
186,sapien ut nunc,American,Cheap,Harlem,10:00,20:00,5,FALSE
187,pellentesque volutpat,Korean,Medium,Morningside Heights,10:00,20:00,2,FALSE
188,venenatis lacinia,Chinese,Medium,NoHo,10:00,20:00,1,FALSE
189,eget congue,Italian,Expensive,Chinatown,10:00,20:00,3,FALSE
190,sagittis dui vel nisl,French,Medium,Stuyvesant Town,10:00,20:00,2,FALSE
191,vitae,Thai,Cheap,Tribeca,10:00,20:00,2,TRUE
192,duis bibendum felis,Japanese,Expensive,Morningside Heights,10:00,20:00,1,TRUE
193,odio cras,Japanese,Medium,Upper West Side,10:00,20:00,1,FALSE
194,orci,Vietnamese,Expensive,Kips Bay,10:00,20:00,1,FALSE
195,non mi integer ac,Middle Eastern,Medium,Nolita,10:00,20:00,4,FALSE
196,arcu sed,Chinese,Cheap,West Village,10:00,20:00,2,TRUE
197,eget semper rutrum nulla,Italian,Medium,NoHo,10:00,20:00,5,TRUE
198,leo pellentesque ultrices mattis,Spanish,Medium,Meatpacking District,10:00,20:00,1,TRUE
199,sapien a libero,Korean,Cheap,Roosevelt Island,10:00,20:00,2,TRUE
200,blandit lacinia erat,Mexican,Medium,Harlem,10:00,20:00,1,FALSE
201,integer non velit,Korean,Cheap,Tribeca,10:00,20:00,2,FALSE
202,venenatis lacinia aenean sit,Korean,Cheap,Chelsea,10:00,20:00,3,TRUE
203,ligula suspendisse ornare consequat,Spanish,Expensive,SoHo,10:00,20:00,5,TRUE
204,et,Japanese,Expensive,SoHo,10:00,20:00,2,FALSE
205,nulla,Japanese,Expensive,Hell's Kitchen,10:00,20:00,2,FALSE
206,leo maecenas,Mexican,Medium,Meatpacking District,10:00,20:00,3,TRUE
207,non mauris,Middle Eastern,Medium,Yorkville,10:00,20:00,5,FALSE
208,vel augue vestibulum rutrum,American,Expensive,Yorkville,10:00,20:00,4,TRUE
209,augue quam sollicitudin,Korean,Cheap,NoHo,10:00,20:00,4,TRUE
210,volutpat eleifend,Japanese,Cheap,Financial District,10:00,20:00,3,FALSE
211,tincidunt nulla mollis molestie,Indian,Cheap,Washington Heights,10:00,20:00,2,TRUE
212,velit vivamus vel,Chinese,Medium,Greenwich Village,10:00,20:00,5,TRUE
213,orci pede,Spanish,Medium,Lenox Hill,10:00,20:00,1,FALSE
214,turpis nec euismod,American,Expensive,Turtle Bay,10:00,20:00,4,TRUE
215,leo maecenas pulvinar,Mexican,Cheap,Washington Heights,10:00,20:00,2,FALSE
216,sed,American,Cheap,Meatpacking District,10:00,20:00,5,FALSE
217,imperdiet sapien urna pretium,Spanish,Medium,Chinatown,10:00,20:00,3,FALSE
218,in quam,Vietnamese,Medium,Kips Bay,10:00,20:00,5,FALSE
219,in felis,Japanese,Cheap,Yorkville,10:00,20:00,3,FALSE
220,nulla eget,Korean,Cheap,Lincoln Square,10:00,20:00,1,TRUE
221,montes nascetur ridiculus,Korean,Expensive,Kips Bay,10:00,20:00,1,FALSE
222,nibh in hac,Italian,Expensive,East Village,10:00,20:00,4,TRUE
223,nisi volutpat,Thai,Medium,Tribeca,10:00,20:00,5,FALSE
224,nibh ligula,Korean,Expensive,Harlem,10:00,20:00,2,TRUE
225,at,Korean,Cheap,Lower East Side,10:00,20:00,2,TRUE
226,est et tempus semper,Mexican,Expensive,Hell's Kitchen,10:00,20:00,1,FALSE
227,pellentesque ultrices mattis odio,Spanish,Expensive,NoHo,10:00,20:00,3,FALSE
228,suscipit,Vietnamese,Medium,Upper West Side,10:00,20:00,2,FALSE
229,justo aliquam quis turpis,Mexican,Cheap,Murray Hill,10:00,20:00,3,TRUE
230,leo,American,Medium,Lincoln Square,10:00,20:00,5,FALSE
231,mauris eget massa,French,Medium,Kips Bay,10:00,20:00,1,FALSE
232,cubilia curae,Middle Eastern,Medium,Tribeca,10:00,20:00,4,TRUE
233,velit nec nisi,Korean,Expensive,NoHo,10:00,20:00,2,TRUE
234,aliquet,Spanish,Medium,Morningside Heights,10:00,20:00,4,TRUE
235,metus,Thai,Medium,Chinatown,10:00,20:00,2,FALSE
236,blandit ultrices enim,French,Cheap,Tribeca,10:00,20:00,2,TRUE
237,id turpis,Italian,Expensive,Little Italy,10:00,20:00,2,TRUE
238,blandit nam,Thai,Medium,Lenox Hill,10:00,20:00,1,TRUE
239,tristique,French,Cheap,Upper East Side,10:00,20:00,1,TRUE
240,suscipit nulla elit ac,Middle Eastern,Cheap,Battery Park City,10:00,20:00,5,FALSE
241,libero,Mexican,Medium,Inwood,10:00,20:00,1,TRUE
242,proin,Mexican,Cheap,Washington Heights,10:00,20:00,3,FALSE
243,semper,Middle Eastern,Cheap,Gramercy Park,10:00,20:00,4,TRUE
244,quis,Japanese,Expensive,NoHo,10:00,20:00,4,FALSE
245,vestibulum sed magna,Thai,Medium,SoHo,10:00,20:00,5,TRUE
246,luctus rutrum nulla,Thai,Medium,Hell's Kitchen,10:00,20:00,4,TRUE
247,vitae mattis nibh,Vietnamese,Expensive,East Village,10:00,20:00,1,TRUE
248,posuere metus vitae ipsum,Indian,Expensive,Yorkville,10:00,20:00,5,FALSE
249,dui maecenas,Indian,Cheap,Stuyvesant Town,10:00,20:00,5,FALSE
250,ultrices posuere,Spanish,Expensive,Nolita,10:00,20:00,1,TRUE
251,pulvinar nulla,Vietnamese,Medium,Tudor City,10:00,20:00,4,TRUE
252,sapien iaculis congue,Thai,Medium,Murray Hill,10:00,20:00,5,TRUE
253,ac tellus semper,Mexican,Expensive,Murray Hill,10:00,20:00,2,TRUE
254,turpis a,Spanish,Medium,Harlem,10:00,20:00,3,FALSE
255,augue vestibulum rutrum rutrum,Middle Eastern,Expensive,Meatpacking District,10:00,20:00,2,TRUE
256,ac consequat metus sapien,Indian,Expensive,Gramercy Park,10:00,20:00,3,TRUE
257,lacus,Korean,Medium,Yorkville,10:00,20:00,4,TRUE
258,id ligula suspendisse,Middle Eastern,Medium,Chinatown,10:00,20:00,3,FALSE
259,lacus morbi,Korean,Expensive,Kips Bay,10:00,20:00,3,TRUE
260,id lobortis,Chinese,Cheap,Lincoln Square,10:00,20:00,4,FALSE
261,nunc proin,Chinese,Cheap,Murray Hill,10:00,20:00,4,FALSE
262,mus vivamus vestibulum,Thai,Medium,Inwood,10:00,20:00,1,TRUE
263,leo maecenas pulvinar lobortis,French,Expensive,Chelsea,10:00,20:00,2,TRUE
264,in tempus sit,French,Expensive,Murray Hill,10:00,20:00,1,FALSE
265,tincidunt in leo maecenas,Mexican,Cheap,Flatiron District,10:00,20:00,5,TRUE
266,dui vel nisl duis,Chinese,Expensive,Meatpacking District,10:00,20:00,1,FALSE
267,curae,Chinese,Medium,Kips Bay,10:00,20:00,2,TRUE
268,luctus et,Chinese,Medium,Battery Park City,10:00,20:00,3,FALSE
269,sagittis dui,Korean,Expensive,Nolita,10:00,20:00,3,TRUE
270,magna bibendum imperdiet nullam,Japanese,Medium,Midtown,10:00,20:00,4,FALSE
271,erat,Italian,Expensive,Hell's Kitchen,10:00,20:00,3,FALSE
272,justo eu,Vietnamese,Cheap,Lower East Side,10:00,20:00,2,FALSE
273,suspendisse accumsan,Middle Eastern,Cheap,Sutton Place,10:00,20:00,3,TRUE
274,nulla eget eros,Spanish,Cheap,Upper West Side,10:00,20:00,3,FALSE
275,congue,Korean,Medium,Meatpacking District,10:00,20:00,4,TRUE
276,pede morbi porttitor lorem,American,Expensive,Little Italy,10:00,20:00,3,TRUE
277,nulla dapibus,Italian,Cheap,NoHo,10:00,20:00,3,TRUE
278,ac nibh fusce,American,Expensive,Upper West Side,10:00,20:00,1,TRUE
279,ultrices posuere,Indian,Expensive,Yorkville,10:00,20:00,1,FALSE
280,habitasse platea,French,Cheap,Lincoln Square,10:00,20:00,4,FALSE
281,vestibulum ante ipsum,Spanish,Medium,Hell's Kitchen,10:00,20:00,2,FALSE
282,lorem ipsum dolor,American,Cheap,Upper West Side,10:00,20:00,1,TRUE
283,sapien quis,Indian,Cheap,Harlem,10:00,20:00,1,FALSE
284,augue a suscipit,French,Medium,NoHo,10:00,20:00,3,TRUE
285,sapien cum sociis,Mexican,Cheap,Washington Heights,10:00,20:00,2,TRUE
286,nec,Italian,Cheap,SoHo,10:00,20:00,5,FALSE
287,sem duis aliquam,Japanese,Cheap,Washington Heights,10:00,20:00,4,TRUE
288,a ipsum,Indian,Expensive,Greenwich Village,10:00,20:00,3,FALSE
289,praesent lectus vestibulum,French,Expensive,Murray Hill,10:00,20:00,5,FALSE
290,hac habitasse,Korean,Medium,Flatiron District,10:00,20:00,2,TRUE
291,in eleifend quam a,Italian,Medium,Roosevelt Island,10:00,20:00,5,FALSE
292,diam id,Japanese,Medium,West Village,10:00,20:00,4,FALSE
293,parturient,Chinese,Medium,Tudor City,10:00,20:00,1,FALSE
294,nulla dapibus dolor,French,Cheap,Tudor City,10:00,20:00,4,FALSE
295,non ligula pellentesque ultrices,Mexican,Medium,Nolita,10:00,20:00,3,FALSE
296,justo,Mexican,Cheap,Tribeca,10:00,20:00,2,TRUE
297,cursus urna,Spanish,Medium,West Village,10:00,20:00,5,FALSE
298,diam,Thai,Medium,Nolita,10:00,20:00,1,FALSE
299,tempus sit amet sem,Middle Eastern,Medium,Financial District,10:00,20:00,2,FALSE
300,ultricies eu nibh quisque,French,Cheap,Gramercy Park,10:00,20:00,4,FALSE
301,elit sodales scelerisque,French,Expensive,Tribeca,10:00,20:00,5,TRUE
302,semper,French,Cheap,West Village,10:00,20:00,4,FALSE
303,eleifend pede libero,French,Cheap,Harlem,10:00,20:00,5,FALSE
304,in faucibus orci luctus,American,Medium,Meatpacking District,10:00,20:00,5,FALSE
305,tempor turpis nec,Italian,Medium,Lenox Hill,10:00,20:00,4,FALSE
306,enim,Korean,Cheap,Lenox Hill,10:00,20:00,3,TRUE
307,donec vitae nisi,Mexican,Cheap,Little Italy,10:00,20:00,4,TRUE
308,felis sed lacus,Vietnamese,Expensive,Morningside Heights,10:00,20:00,5,FALSE
309,odio odio,Middle Eastern,Cheap,Midtown,10:00,20:00,4,FALSE
310,nibh in lectus pellentesque,Spanish,Cheap,Chinatown,10:00,20:00,1,FALSE
311,vel sem,Italian,Cheap,Gramercy Park,10:00,20:00,2,TRUE
312,quam turpis,Spanish,Expensive,Lenox Hill,10:00,20:00,2,TRUE
313,quam,Middle Eastern,Medium,Inwood,10:00,20:00,3,FALSE
314,cubilia curae,Indian,Cheap,Lower East Side,10:00,20:00,1,FALSE
315,lacus curabitur at,Mexican,Expensive,Morningside Heights,10:00,20:00,4,FALSE
316,in,Japanese,Cheap,Tudor City,10:00,20:00,4,TRUE
317,consectetuer eget rutrum,American,Medium,SoHo,10:00,20:00,1,TRUE
318,quis lectus suspendisse potenti,Chinese,Medium,Gramercy Park,10:00,20:00,5,TRUE
319,rhoncus,Vietnamese,Expensive,SoHo,10:00,20:00,5,FALSE
320,justo,American,Medium,Murray Hill,10:00,20:00,2,FALSE
321,proin leo,Japanese,Medium,East Village,10:00,20:00,5,FALSE
322,convallis morbi,Japanese,Expensive,Sutton Place,10:00,20:00,2,TRUE
323,id,French,Medium,Financial District,10:00,20:00,2,TRUE
324,a odio,Spanish,Expensive,Tudor City,10:00,20:00,1,FALSE
325,tempus vel pede,Thai,Cheap,Flatiron District,10:00,20:00,1,FALSE
326,nulla,Chinese,Expensive,Murray Hill,10:00,20:00,5,TRUE
327,posuere metus vitae,Middle Eastern,Expensive,NoHo,10:00,20:00,5,FALSE
328,nullam molestie,Mexican,Medium,Upper West Side,10:00,20:00,4,FALSE
329,quam a odio,Thai,Medium,SoHo,10:00,20:00,1,FALSE
330,metus arcu adipiscing,Vietnamese,Expensive,Kips Bay,10:00,20:00,4,TRUE
331,consectetuer adipiscing elit proin,Mexican,Expensive,Gramercy Park,10:00,20:00,2,FALSE
332,ridiculus mus,Japanese,Cheap,Lower East Side,10:00,20:00,3,FALSE
333,enim leo rhoncus sed,Spanish,Cheap,Battery Park City,10:00,20:00,1,FALSE
334,sit amet,American,Cheap,Gramercy Park,10:00,20:00,2,FALSE
335,ultricies eu nibh quisque,Chinese,Expensive,Chinatown,10:00,20:00,3,FALSE
336,quam turpis adipiscing,French,Medium,Chelsea,10:00,20:00,5,TRUE
337,pede,American,Medium,Roosevelt Island,10:00,20:00,1,FALSE
338,integer a,American,Medium,Little Italy,10:00,20:00,1,TRUE
339,pede lobortis ligula sit,Korean,Medium,Flatiron District,10:00,20:00,2,TRUE
340,molestie sed justo pellentesque,Japanese,Medium,Sutton Place,10:00,20:00,2,FALSE
341,praesent lectus vestibulum quam,Chinese,Medium,Hell's Kitchen,10:00,20:00,5,TRUE
342,rutrum,American,Expensive,Upper East Side,10:00,20:00,2,TRUE
